5.0000000000e19 1.0000000000e-10 1.7850967097e-23
5.1000000000e19 9.9993609783e-11 1.7850119554e-23
5.2000000000e19 9.9987095886e-11 1.7849255296e-23
5.3000000000e19 9.9980458332e-11 1.7848374328e-23
5.4000000000e19 9.9973697145e-11 1.7847476655e-23
5.5000000000e19 9.9966812350e-11 1.7846562279e-23
5.6000000000e19 9.9959803969e-11 1.7845631205e-23
5.7000000000e19 9.9952672029e-11 1.7844683438e-23
5.8000000000e19 9.9945416555e-11 1.7843718983e-23
5.9000000000e19 9.9938037572e-11 1.7842737843e-23
6.0000000000e19 9.9930535107e-11 1.7841740023e-23
6.1000000000e19 9.9922909186e-11 1.7840725528e-23
6.2000000000e19 9.9915159837e-11 1.7839694363e-23
6.3000000000e19 9.9907287086e-11 1.7838646533e-23
6.4000000000e19 9.9899290962e-11 1.7837582041e-23
6.5000000000e19 9.9891171494e-11 1.7836500894e-23
6.6000000000e19 9.9882928710e-11 1.7835403096e-23
6.7000000000e19 9.9874562639e-11 1.7834288653e-23
6.8000000000e19 9.9866073311e-11 1.7833157569e-23
6.9000000000e19 9.9857460757e-11 1.7832009851e-23
7.0000000000e19 9.9848725006e-11 1.7830845502e-23
7.1000000000e19 9.9839866089e-11 1.7829664530e-23
7.2000000000e19 9.9830884039e-11 1.7828466938e-23
7.3000000000e19 9.9821778887e-11 1.7827252734e-23
7.4000000000e19 9.9812550666e-11 1.7826021921e-23
7.5000000000e19 9.9803199407e-11 1.7824774507e-23
7.6000000000e19 9.9793725144e-11 1.7823510497e-23
7.7000000000e19 9.9784127912e-11 1.7822229897e-23
7.8000000000e19 9.9774407743e-11 1.7820932713e-23
7.9000000000e19 9.9764564672e-11 1.7819618951e-23
8.0000000000e19 9.9754598734e-11 1.7818288617e-23
8.1000000000e19 9.9744509965e-11 1.7816941717e-23
8.2000000000e19 9.9734298400e-11 1.7815578257e-23
8.3000000000e19 9.9723964075e-11 1.7814198244e-23
8.4000000000e19 9.9713507027e-11 1.7812801685e-23
8.5000000000e19 9.9702927293e-11 1.7811388585e-23
8.6000000000e19 9.9692224911e-11 1.7809958952e-23
8.7000000000e19 9.9681399917e-11 1.7808512791e-23
8.8000000000e19 9.9670452352e-11 1.7807050111e-23
